rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
3708	CARTPT	CART prepropeptide	359	80	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3709	CASC1	cancer susceptibility candidate 1	2410	158	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3710	CASC3	cancer susceptibility candidate 3	2164	76	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3711	CASC4	cancer susceptibility candidate 4	1347	34	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3712	CASD1	CAS1 domain containing 1	2462	83	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3713	CASK	calcium/calmodulin-dependent serine protein kinase (MAGUK family)	2887	176	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3714	CASKIN1	CASK interacting protein 1	4374	230	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3715	CASKIN2	CASK interacting protein 2	3681	55	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3716	CASP1	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)	1253	509	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3717	CASP14	caspase 14, apoptosis-related cysteine peptidase	751	709	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3718	CASP2	caspase 2, apoptosis-related cysteine peptidase (neural precursor cell expressed, developmentally down-regulated 2)	1399	899	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3719	CASP3	caspase 3, apoptosis-related cysteine peptidase	858	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3720	CASP4	caspase 4, apoptosis-related cysteine peptidase	1168	669	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3721	CASP5	caspase 5, apoptosis-related cysteine peptidase	1382	669	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3722	CASP6	caspase 6, apoptosis-related cysteine peptidase	908	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3723	CASP7	caspase 7, apoptosis-related cysteine peptidase	1117	178	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3724	CASP8	caspase 8, apoptosis-related cysteine peptidase	1749	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3725	CASP8AP2	CASP8 associated protein 2	5937	29	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3726	CASP9	caspase 9, apoptosis-related cysteine peptidase	1285	442	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3727	CASQ1	calsequestrin 1 (fast-twitch, skeletal muscle)	1231	558	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3728	CASQ2	calsequestrin 2 (cardiac muscle)	1240	392	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3729	CASR	calcium-sensing receptor (hypocalciuric hypercalcemia 1, severe neonatal hyperparathyroidism)	3287	13	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3730	CASS4	Cas scaffolding protein family member 4	2381	107	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3731	CAST	calpastatin	2624	33	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3732	CAT	catalase	1634	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3733	CATSPER1	cation channel, sperm associated 1	2387	41	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3734	CATSPER2	cation channel, sperm associated 2	1678	273	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3735	CATSPER3	cation channel, sperm associated 3	1229	553	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3736	CATSPERB	cation channel, sperm-associated, beta	3453	25	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3737	CATSPERG	catsper channel auxiliary subunit gamma	3592	515	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3738	CAV1	caveolin 1, caveolae protein, 22kDa	547	429	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3739	CAV2	caveolin 2	535	41	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3740	CAV3	caveolin 3	468	3	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3741	CBARA1	calcium binding atopy-related autoantigen 1	1480	415	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3742	CBFA2T2	core-binding factor, runt domain, alpha subunit 2; translocated to, 2	1891	27	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3743	CBFA2T3	core-binding factor, runt domain, alpha subunit 2; translocated to, 3	2006	113	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3744	CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	3021	67	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3745	CBLC	Cas-Br-M (murine) ecotropic retroviral transforming sequence c	1467	796	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3746	CBLL1	Cas-Br-M (murine) ecotropic retroviral transforming sequence-like 1	1496	709	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3747	CBLN1	cerebellin 1 precursor	590	83	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3748	CBLN2	cerebellin 2 precursor	683	368	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3749	CBLN3	cerebellin 3 precursor	626	233	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3750	CBLN4	cerebellin 4 precursor	614	311	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3751	CBR1	carbonyl reductase 1	842	244	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3752	CBR3	carbonyl reductase 3	844	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3753	CBR4	carbonyl reductase 4	730	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3754	CBS	cystathionine-beta-synthase	1720	148	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3755	CBWD1	COBW domain containing 1	1296	821	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3756	CBWD2	COBW domain containing 2	1244	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3757	CBWD3	COBW domain containing 3	2489	69	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3758	CBWD5	COBW domain containing 5	1093	47	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3759	CBWD6	COBW domain containing 6	1244	236	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3760	CBX1	chromobox homolog 1 (HP1 beta homolog Drosophila )	574	155	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3761	CBX2	chromobox homolog 2 (Pc class homolog, Drosophila)	1963	354	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3762	CBX3	chromobox homolog 3 (HP1 gamma homolog, Drosophila)	572	3	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3763	CBX4	chromobox homolog 4 (Pc class homolog, Drosophila)	1699	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3764	CBX6	chromobox homolog 6	1257	555	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3765	CBX8	chromobox homolog 8 (Pc class homolog, Drosophila)	1188	156	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3766	CBY1	chibby homolog 1 (Drosophila)	397	116	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3767	CC2D1A	coiled-coil and C2 domain containing 1A	2968	66	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3768	CC2D1B	coiled-coil and C2 domain containing 1B	2669	163	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3769	CC2D2B	coiled-coil and C2 domain containing 2B	1246	111	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3770	CCAR1	cell division cycle and apoptosis regulator 1	3549	69	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3771	CCBL1	cysteine conjugate-beta lyase, cytoplasmic	1317	909	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3772	CCBL2	cysteine conjugate-beta lyase 2	1416	363	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3773	CCBP2	chemokine binding protein 2	1159	634	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3774	CCDC101	coiled-coil domain containing 101	920	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3775	CCDC102A	coiled-coil domain containing 102A	1681	51	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3776	CCDC102B	coiled-coil domain containing 102B	1570	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3777	CCDC103	coiled-coil domain containing 103	741	258	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3778	CCDC104	coiled-coil domain containing 104	1067	377	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3779	CCDC105	coiled-coil domain containing 105	1526	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3780	CCDC106	coiled-coil domain containing 106	863	257	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3781	CCDC107	coiled-coil domain containing 107	869	176	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3782	CCDC108	coiled-coil domain containing 108	6058	3	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3783	CCDC109A	coiled-coil domain containing 109A	1086	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3784	CCDC109B	coiled-coil domain containing 109B	1039	354	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3785	CCDC11	coiled-coil domain containing 11	1575	923	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3786	CCDC110	coiled-coil domain containing 110	2528	66	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3787	CCDC111	coiled-coil domain containing 111	1731	303	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3788	CCDC112	coiled-coil domain containing 112	1626	373	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3789	CCDC113	coiled-coil domain containing 113	1168	757	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3790	CCDC114	coiled-coil domain containing 114	2065	961	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3791	CCDC115	coiled-coil domain containing 115	559	649	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3792	CCDC116	coiled-coil domain containing 116	1858	209	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3793	CCDC117	coiled-coil domain containing 117	856	256	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3794	CCDC12	coiled-coil domain containing 12	566	261	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3795	CCDC120	coiled-coil domain containing 120	2042	579	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3796	CCDC121	coiled-coil domain containing 121	1327	107	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3797	CCDC122	coiled-coil domain containing 122	838	396	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3798	CCDC123	coiled-coil domain containing 123	2426	467	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3799	CCDC124	coiled-coil domain containing 124	688	275	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3800	CCDC125	coiled-coil domain containing 125	1578	364	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3801	CCDC126	coiled-coil domain containing 126	427	641	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3802	CCDC127	coiled-coil domain containing 127	791	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3803	CCDC129	coiled-coil domain containing 129	3187	218	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3804	CCDC13	coiled-coil domain containing 13	2208	338	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3805	CCDC130	coiled-coil domain containing 130	1223	74	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3806	CCDC132	coiled-coil domain containing 132	3045	161	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3807	CCDC134	coiled-coil domain containing 134	714	161	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3808	CCDC135	coiled-coil domain containing 135	2693	127	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3809	CCDC136	coiled-coil domain containing 136	3533	77	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3810	CCDC137	coiled-coil domain containing 137	892	126	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3811	CCDC138	coiled-coil domain containing 138	2056	575	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3812	CCDC14	coiled-coil domain containing 14	2785	403	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3813	CCDC140	coiled-coil domain containing 140	492	20	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3814	CCDC141	coiled-coil domain containing 141	2676	324	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3815	CCDC142	coiled-coil domain containing 142	2264	189	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3816	CCDC144A	coiled-coil domain containing 144A	4354	292	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3817	CCDC144B	coiled-coil domain containing 144B	2217	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3818	CCDC144NL	coiled-coil domain containing 144 family, N-terminal like	678	52	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3819	CCDC146	coiled-coil domain containing 146	2940	467	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3820	CCDC147	coiled-coil domain containing 147	2687	379	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3821	CCDC148	coiled-coil domain containing 148	1878	291	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3822	CCDC149	coiled-coil domain containing 149	1638	617	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3823	CCDC15	coiled-coil domain containing 15	2916	4	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3824	CCDC151	coiled-coil domain containing 151	1836	112	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3825	CCDC153	coiled-coil domain containing 153	661	28	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3826	CCDC155	coiled-coil domain containing 155	1765	419	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3827	CCDC157	coiled-coil domain containing 157	2301	98	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3828	CCDC158	coiled-coil domain containing 158	3434	40	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3829	CCDC159	coiled-coil domain containing 159	938	234	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3830	CCDC160	coiled-coil domain containing 160	980	9	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3831	CCDC17	coiled-coil domain containing 17	1917	421	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3832	CCDC18	coiled-coil domain containing 18	4362	96	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3833	CCDC19	coiled-coil domain containing 19	1702	102	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3834	CCDC21	coiled-coil domain containing 21	2341	94	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3835	CCDC22	coiled-coil domain containing 22	1948	649	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3836	CCDC23	coiled-coil domain containing 23	209	2	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3837	CCDC25	coiled-coil domain containing 25	659	118	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3838	CCDC27	coiled-coil domain containing 27	2017	126	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3839	CCDC28A	coiled-coil domain containing 28A	845	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3840	CCDC28B	coiled-coil domain containing 28B	623	308	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3841	CCDC3	coiled-coil domain containing 3	821	398	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3842	CCDC30	coiled-coil domain containing 30	2412	99	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3843	CCDC33	coiled-coil domain containing 33	2603	88	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3844	CCDC34	coiled-coil domain containing 34	1226	413	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3845	CCDC36	coiled-coil domain containing 36	1813	115	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3846	CCDC37	coiled-coil domain containing 37	1900	9	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3847	CCDC38	coiled-coil domain containing 38	1754	356	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3848	CCDC39	coiled-coil domain containing 39	2902	567	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3849	CCDC40	coiled-coil domain containing 40	3507	1	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3850	CCDC41	coiled-coil domain containing 41	2165	37	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3851	CCDC42	coiled-coil domain containing 42	975	337	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3852	CCDC43	coiled-coil domain containing 43	693	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3853	CCDC45	coiled-coil domain containing 45	2544	581	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3854	CCDC46	coiled-coil domain containing 46	3136	442	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3855	CCDC47	coiled-coil domain containing 47	1500	712	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3856	CCDC48	coiled-coil domain containing 48	1825	375	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3857	CCDC50	coiled-coil domain containing 50	1493	182	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3858	CCDC51	coiled-coil domain containing 51	1248	572	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3859	CCDC52	coiled-coil domain containing 52	2634	53	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3860	CCDC53	coiled-coil domain containing 53	540	4	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3861	CCDC54	coiled-coil domain containing 54	989	962	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3862	CCDC55	coiled-coil domain containing 55	1703	968	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3863	CCDC56	coiled-coil domain containing 56	327	31	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3864	CCDC58	coiled-coil domain containing 58	453	209	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3865	CCDC59	coiled-coil domain containing 59	740	49	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3866	CCDC6	coiled-coil domain containing 6	1457	957	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3867	CCDC61	coiled-coil domain containing 61	1652	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3868	CCDC62	coiled-coil domain containing 62	2153	93	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3869	CCDC63	coiled-coil domain containing 63	1738	214	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3870	CCDC64	coiled-coil domain containing 64	1756	153	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3871	CCDC64B	coiled-coil domain containing 64B	1561	70	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3872	CCDC65	coiled-coil domain containing 65	1483	841	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3873	CCDC66	coiled-coil domain containing 66	2921	186	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3874	CCDC68	coiled-coil domain containing 68	1052	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3875	CCDC69	coiled-coil domain containing 69	923	153	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3876	CCDC7	coiled-coil domain containing 7	1529	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3877	CCDC70	coiled-coil domain containing 70	706	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3878	CCDC71	coiled-coil domain containing 71	1408	217	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3879	CCDC72	coiled-coil domain containing 72	209	3	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3880	CCDC73	coiled-coil domain containing 73	3308	3	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3881	CCDC74A	coiled-coil domain containing 74A	1167	538	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3882	CCDC74B	coiled-coil domain containing 74B	1173	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3883	CCDC75	coiled-coil domain containing 75	812	53	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3884	CCDC76	coiled-coil domain containing 76	1490	87	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3885	CCDC77	coiled-coil domain containing 77	1511	23	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3886	CCDC78	coiled-coil domain containing 78	1369	308	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3887	CCDC8	coiled-coil domain containing 8	1617	52	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3888	CCDC80	coiled-coil domain containing 80	2881	89	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3889	CCDC81	coiled-coil domain containing 81	2015	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3890	CCDC82	coiled-coil domain containing 82	1663	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3891	CCDC83	coiled-coil domain containing 83	1379	853	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3892	CCDC84	coiled-coil domain containing 84	1041	73	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3893	CCDC85A	coiled-coil domain containing 85A	1682	236	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3894	CCDC85B	coiled-coil domain containing 85B	609	8	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3895	CCDC86	coiled-coil domain containing 86	1095	260	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3896	CCDC87	coiled-coil domain containing 87	2552	116	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3897	CCDC88A	coiled-coil domain containing 88A	5744	12	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3898	CCDC88B	coiled-coil domain containing 88B	4537	8	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3899	CCDC88C	coiled-coil domain containing 88C	6205	1	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3900	CCDC89	coiled-coil domain containing 89	1125	78	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3901	CCDC9	coiled-coil domain containing 9	1640	979	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3902	CCDC90A	coiled-coil domain containing 90A	1114	444	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3903	CCDC90B	coiled-coil domain containing 90B	797	49	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3904	CCDC91	coiled-coil domain containing 91	1372	120	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3905	CCDC92	coiled-coil domain containing 92	1012	701	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3906	CCDC93	coiled-coil domain containing 93	1988	100	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3907	CCDC94	coiled-coil domain containing 94	1002	383	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3908	CCDC96	coiled-coil domain containing 96	1670	766	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3909	CCDC97	coiled-coil domain containing 97	1048	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3910	CCDC99	coiled-coil domain containing 99	1862	82	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3911	CCHCR1	coiled-coil alpha-helical rod protein 1	2684	31	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3912	CCIN	calicin	1769	227	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3913	CCK	cholecystokinin	356	1	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3914	CCKAR	cholecystokinin A receptor	1303	788	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3915	CCKBR	cholecystokinin B receptor	1360	147	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3916	CCL1	chemokine (C-C motif) ligand 1	301	374	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3917	CCL13	chemokine (C-C motif) ligand 13	307	370	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3918	CCL14	chemokine (C-C motif) ligand 14	344	26	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3919	CCL15	chemokine (C-C motif) ligand 15	354	221	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3920	CCL17	chemokine (C-C motif) ligand 17	297	56	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3921	CCL18	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)	280	26	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3922	CCL19	chemokine (C-C motif) ligand 19	309	129	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3923	CCL2	chemokine (C-C motif) ligand 2	310	9	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3924	CCL22	chemokine (C-C motif) ligand 22	292	15	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3925	CCL23	chemokine (C-C motif) ligand 23	428	223	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3926	CCL24	chemokine (C-C motif) ligand 24	366	110	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3927	CCL25	chemokine (C-C motif) ligand 25	469	10	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3928	CCL26	chemokine (C-C motif) ligand 26	297	17	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3929	CCL27	chemokine (C-C motif) ligand 27	353	128	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3930	CCL28	chemokine (C-C motif) ligand 28	394	62	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3931	CCL3	chemokine (C-C motif) ligand 3	289	9	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3932	CCL4	chemokine (C-C motif) ligand 4	289	9	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3933	CCL4L1	chemokine (C-C motif) ligand 4-like 1	578	5	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3934	CCL4L2	chemokine (C-C motif) ligand 4-like 2	578	5	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3935	CCL5	chemokine (C-C motif) ligand 5	286	186	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
3936	CCL7	chemokine (C-C motif) ligand 7	310	9	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
